"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_540_forward_input.0","NN_Conv2d_540_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_540_forward_output","NN_Conv2d_540_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
"NN_Conv2d_541_forward_input.0","NN_Conv2d_541_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_541_forward_output","NN_Conv2d_541_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
"NN_Conv2d_542_forward_input.0","NN_Conv2d_542_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_542_forward_output","NN_Conv2d_542_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
"NN_Conv2d_543_forward_input.0","NN_Conv2d_543_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_543_forward_output","NN_Conv2d_543_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
"NN_Conv2d_544_forward_input.0","NN_Conv2d_544_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_544_forward_output","NN_Conv2d_544_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
