"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_BatchNorm2d_186","NN_BatchNorm2d_186"
"NN_BatchNorm2d_187","NN_BatchNorm2d_187"
"NN_BatchNorm2d_188","NN_BatchNorm2d_188"
"NN_BatchNorm2d_189","NN_BatchNorm2d_189"
"NN_BatchNorm2d_190","NN_BatchNorm2d_190"
"NN_BatchNorm2d_191","NN_BatchNorm2d_191"
"Functional_relu_30","Functional_relu_30"
"","LAYER_features_dense_1_8_conv2"
"NN_Conv2d_186","NN_Conv2d_186"
"NN_Conv2d_187","NN_Conv2d_187"
"NN_Conv2d_188","NN_Conv2d_188"
"NN_Conv2d_189","NN_Conv2d_189"
"NN_Conv2d_190","NN_Conv2d_190"
"NN_Conv2d_191","NN_Conv2d_191"
"Functional_concat_14","Torch_cat_14
LAYER_features_dense_1_8
LAYER_features_dense_1_9_bn1"
"NN_BatchNorm2d_192","NN_BatchNorm2d_192"
"NN_BatchNorm2d_193","NN_BatchNorm2d_193"
"NN_BatchNorm2d_194","NN_BatchNorm2d_194"
"NN_BatchNorm2d_195","NN_BatchNorm2d_195"
"NN_BatchNorm2d_196","NN_BatchNorm2d_196"
"NN_BatchNorm2d_197","NN_BatchNorm2d_197"
"Functional_relu_31","Functional_relu_31"
"","LAYER_features_dense_1_9_conv1"
"NN_Conv2d_192","NN_Conv2d_192"
"NN_Conv2d_193","NN_Conv2d_193"
"NN_Conv2d_194","NN_Conv2d_194"
"NN_Conv2d_195","NN_Conv2d_195"
"NN_Conv2d_196","NN_Conv2d_196"
"NN_Conv2d_197","NN_Conv2d_197"
"","LAYER_features_dense_1_9_bn2"
"NN_BatchNorm2d_198","NN_BatchNorm2d_198"
"NN_BatchNorm2d_199","NN_BatchNorm2d_199"
"NN_BatchNorm2d_200","NN_BatchNorm2d_200"
"NN_BatchNorm2d_201","NN_BatchNorm2d_201"
